embedding_x,embedding_y,embedding_z
7.595453,0.269266,-5.8288884
9.403293,2.8630154,-8.028466
10.242352,0.8990443,12.008315
4.0841627,14.266871,3.7590952
-7.162574,3.446642,-0.29260102
12.368268,-1.9437828,7.251398
10.327539,0.6645606,10.31642
12.463793,-2.0353136,7.2748704
8.423921,-2.7487507,17.132578
2.4221792,12.738622,-2.2079659
-1.9268968,9.751123,8.3928175
6.1660376,14.616862,12.929163
8.366289,-2.6904228,17.19086
0.5252349,12.055613,10.970771
10.395291,1.0272852,10.292875
8.477477,-2.8029945,17.078442
1.2256299,-6.2300324,-1.8798069
3.4018204,14.892766,4.1962314
-0.28436187,-3.3827496,4.7359476
8.280239,-2.6026812,17.278057
10.839369,1.79505,15.852211
13.862944,9.241842,-0.87775767
7.7004156,0.33736774,-5.799392
2.8665898,13.161482,-1.564043
10.91976,1.9222112,15.451722
-5.2582874,7.8883615,8.21246
12.593458,-2.1623883,7.316172
2.8087192,14.323732,0.35441375
12.594204,-2.1649292,7.313361
-0.23334436,9.376257,9.650225
10.438621,0.93853253,9.535724
4.669795,18.957626,-2.078592
-3.3814726,8.802076,6.889082
-3.9870474,8.6510725,7.3901725
6.1787405,14.605392,12.932738
8.050047,0.2771811,-5.508045
8.482339,-2.80789,17.073503
12.801533,7.780552,0.63954824
10.870307,2.014909,15.295243
0.89299965,9.025111,10.150925
10.798404,1.7564099,15.99326
2.352974,14.466847,7.7869096
12.3423605,-1.9185029,7.2468762
-2.0936077,9.918399,8.002779
0.4061554,11.924324,10.7301445
2.9158337,12.843659,-0.6709483
0.7583232,9.579283,10.004262
8.315128,-2.6383164,17.2427
2.3553088,14.467638,7.776639
12.916832,7.742774,0.6373911
-5.3996677,7.6877537,7.018204
4.5099683,18.697113,5.1271844
11.187455,9.112665,-1.0813694
12.493183,-2.0631382,7.2818556
4.4734907,19.308521,-1.5877225
0.89279646,-1.2289443,7.3427024
3.2769866,14.821635,3.7678258
9.381529,2.904633,-7.5820065
10.796097,1.7506922,15.9979315
1.0308764,12.291132,10.180712
0.38487047,-0.39921972,6.984062
5.4560504,19.257574,-2.5571764
9.870703,3.1043713,-7.4371004
-3.536153,7.8279767,7.3667645
-0.30748206,9.494914,9.577238
-0.6981061,11.800092,11.675384
8.488733,-2.8144374,17.067055
13.795925,6.4246845,1.0044296
8.310033,-2.6333437,17.247795
11.709598,2.2691064,6.134842
10.162524,1.0385073,11.429464
7.5487843,0.32758993,-5.9130034
0.10000329,-6.5394197,-1.3402673
-6.153538,3.5089557,0.17358041
-0.28311247,-3.3813105,4.737503
11.181188,9.127986,-1.0946995
10.014823,1.1873025,11.50428
10.780623,1.7245556,16.086866
10.387808,0.62326723,10.004184
0.3984796,12.028204,10.749595
-0.9943646,-6.7712803,-0.03920519
12.362633,-1.9357302,7.2519264
-3.7887523,8.335013,6.284294
0.8616971,9.019166,10.137198
-4.0862684,12.958235,8.694518
8.27227,0.7769114,-5.9844236
3.421846,14.341057,2.5986655
-2.1146963,9.8636875,8.100392
8.200975,-2.520733,17.358704
7.5961323,0.19972357,-5.7239175
13.950847,8.174925,-0.15264352
0.09117875,11.697224,12.163002
10.40464,0.62823427,9.922371
3.8615708,17.187838,6.407203
8.789381,2.1904247,-7.665944
-5.828128,4.8991323,0.030404527
10.959635,1.9567411,15.552558
11.495042,1.9436922,7.255467
-6.326119,3.9912772,0.018239932
9.510739,2.9694834,-7.985
10.403726,0.68012786,9.896877
-0.44629586,-4.132704,4.198544
-5.669547,5.0169396,-0.6126587
10.621347,0.69456744,9.2571745
7.5600147,0.3256057,-5.9130907
11.569584,9.421856,-1.247893
2.8365662,13.257555,-1.7709363
12.368795,-1.9400188,7.2623796
-4.978677,8.048657,7.482274
0.6341868,-1.9466574,6.168457
8.022115,0.16226277,-5.3878045
-2.8733706,9.612669,7.8013783
3.8235383,14.345923,3.455534
-5.793314,4.9692235,-0.4180047
10.813721,0.43292877,8.724557
10.906162,1.9885553,15.343516
10.211528,0.9764341,11.437753
6.099854,15.580086,13.441567
10.769066,1.7151914,16.082253
10.2226715,0.9236776,12.0282755
10.242659,0.8979975,11.700606
9.240347,2.8304882,-7.918806
0.95018417,12.619189,10.687107
7.947256,0.15061094,-5.4188113
13.011135,10.346314,-2.5332258
10.208678,0.9320799,11.475489
12.319679,-1.8162638,7.454439
0.917348,-1.2682787,7.3225274
12.439833,7.970118,0.4893065
13.091528,6.691042,0.9412528
-0.7007931,-4.512451,4.003515
12.329014,-1.8211038,7.470446
1.3174672,-6.173879,-1.9290143
13.919882,9.015327,-2.638865
9.959533,3.6987336,-7.9557076
-3.348328,8.800864,6.8749337
10.817437,2.0843854,15.190725
-4.2718515,8.6209955,7.642435
0.38629857,0.28820434,7.5132213
2.8285556,13.25744,-1.7911266
-3.3038042,9.0284605,7.790194
-5.7525363,7.8426394,9.478966
10.611513,1.2942748,10.005073
10.414497,1.0297477,10.238239
12.89667,9.487661,-1.7870353
8.205286,-2.5251908,17.35435
12.755946,7.5745053,0.72924215
11.553951,3.3795657,3.6699986
13.290046,9.0851755,-1.9736763
4.50908,19.25677,-1.6682307
3.9425642,17.560057,5.536499
13.859939,9.080196,-2.5647204
0.9893743,12.504519,10.690269
-5.2140226,7.838038,7.1607203
11.799219,7.6545577,0.4509533
-3.5852876,9.187505,7.3359704
0.80090654,9.045791,10.087942
11.767258,7.6637797,0.4963666
0.18203306,-4.0338993,4.166683
1.5187501,-3.7788491,4.028812
-3.5565689,9.190361,7.4490113
12.442697,7.9697833,0.5032359
10.601617,1.2664169,9.951935
8.049739,0.27367774,-5.5041165
10.92556,1.9300047,15.42963
-2.165371,9.928037,7.9806027
5.5903873,19.068178,-2.4616761
1.3759941,-6.1388903,-1.9575891
-1.6369973,-6.4948945,-0.41995248
10.653652,1.3001292,8.957329
8.336604,-2.660301,17.220938
1.2133542,12.293715,9.866099
10.89749,1.9367982,15.427787
4.5278635,18.725979,4.7378826
4.5101666,19.26132,-1.6635389
9.059818,2.4156218,-7.483731
8.8996315,2.0365775,-7.3912306
3.0089946,15.306363,4.1161637
-3.9001603,8.606273,7.4509
12.930135,9.582928,-1.5232016
10.929516,1.9672308,15.421227
13.817925,9.317205,-0.9371702
10.782661,1.7273364,16.082098
13.002675,7.643819,0.6922432
8.553578,1.9357902,-7.627245
10.627377,1.3182503,10.023031
3.0340688,15.348548,4.5677934
12.483587,7.9819045,0.5091578
8.468993,-2.7943406,17.087027
2.9799974,15.097386,3.8535626
2.8243854,13.2611475,-1.8087283
10.325511,0.7306913,10.464576
3.826309,17.391417,5.0859656
-0.3015077,-4.008718,4.2357635
8.272388,-2.594873,17.28596
2.7627702,13.076508,-0.11045169
-5.835597,4.8960633,-0.10702897
-5.8999476,4.941361,0.7440291
10.585498,1.2331694,9.891983
-5.901625,4.9455476,0.7653842
12.221245,7.86688,0.43426272
-0.28076667,-3.883998,4.2989373
-2.7008739,7.447096,7.9324117
7.585395,0.39305255,-5.9723396
-5.047372,8.409618,4.9780326
10.130245,1.1226801,11.329317
-3.9240148,8.428545,5.9840884
12.998212,7.728715,0.62281644
